Year,Foxe Basin _x,Kane Basin (Summer),Baffin Bay (Summer),Beaufort Sea (Summer),Canadian Arctic Archipelago,Hudson Bay (Summer),Hudson Strait (Summer),Davis Strait (Summer),Northern Labrador Sea (Summer),Foxe Basin _y,Kane Basin (September),Baffin Bay,Beaufort Sea,Arctic Archipelago (September),Arctic Domain (September),Total Sea Ice Area (millions km²),Temperature Change (°C),Warmest Year Rank,CO2 Emissions (per capita),Temperature Change (°F)
1968,73.11,26.13,130.45,336.75,550.68,93.52,21.28,24.8,4.88,30.51,19.33,30.84,273.27,454.84,808.79,1.26,0.2,44.0,14.626162,32.36
1969,79.44,34.54,168.36,485.6,569.13,190.95,24.82,33.67,4.93,13.48,30.86,66.49,473.89,436.54,1021.27,1.59,0.4,41.0,14.598572,32.72
1970,70.62,30.82,195.68,391.68,570.29,129.96,18.86,38.38,11.79,21.77,25.94,76.23,340.54,427.87,892.35,1.46,-0.2,60.0,15.913101,31.64
1971,68.82,32.42,170.56,402.0,512.13,109.45,29.53,30.85,9.35,10.06,31.61,30.21,341.69,329.23,742.81,1.37,0.0,52.0,16.089348,32.0
1972,113.63,33.0,159.8,355.21,658.75,210.5,42.4,66.86,15.24,60.03,31.47,67.19,254.82,567.51,981.03,1.66,-2.0,76.0,17.128956,28.4
1973,61.83,35.42,137.35,371.77,519.99,122.94,29.7,46.3,4.5,15.69,33.7,28.86,276.3,373.08,727.63,1.33,0.6,29.0,16.93627,33.08
1974,52.46,32.69,99.97,484.81,570.15,154.03,27.42,24.07,6.72,7.77,30.42,9.61,416.02,413.86,877.69,1.45,-0.8,73.0,17.07043,30.56
1975,52.14,33.61,79.6,478.63,508.57,107.11,16.21,25.1,7.51,0.92,33.06,17.23,511.91,395.75,958.87,1.31,-0.1,56.0,17.140574,31.82
1976,76.25,33.91,136.49,448.68,592.63,111.38,18.12,38.48,6.81,30.25,30.0,17.12,376.08,464.0,917.44,1.46,0.0,47.0,17.00912,32.0
1977,71.28,35.35,209.44,298.25,514.03,83.98,14.99,40.95,5.53,20.98,36.54,73.21,200.32,403.16,734.22,1.27,1.0,20.0,17.184347,33.8
1978,106.48,30.42,208.42,421.66,645.95,191.1,28.97,34.26,7.23,53.34,27.98,49.6,294.43,556.56,981.92,1.67,-0.5,68.0,17.329044,31.1
1979,75.19,33.04,138.59,337.03,656.95,126.8,21.91,35.68,6.01,18.55,28.93,17.71,208.27,545.27,818.72,1.43,-0.2,63.0,18.223114,31.64
1980,60.4,31.8,146.37,432.88,574.92,107.61,15.46,25.06,2.49,5.83,28.32,7.08,433.66,469.66,944.55,1.4,0.4,40.0,18.050495,32.72
