Year,MEAN_TEMPERATURE_CALGARY,MEAN_TEMPERATURE_EDMONTON,MEAN_TEMPERATURE_HALIFAX,MEAN_TEMPERATURE_MONCTON,MEAN_TEMPERATURE_MONTREAL,MEAN_TEMPERATURE_OTTAWA,MEAN_TEMPERATURE_QUEBEC,MEAN_TEMPERATURE_SASKATOON,MEAN_TEMPERATURE_STJOHNS,MEAN_TEMPERATURE_TORONTO,MEAN_TEMPERATURE_VANCOUVER,MEAN_TEMPERATURE_WHITEHORSE,MEAN_TEMPERATURE_WINNIPEG,TOTAL_PRECIPITATION_CALGARY,TOTAL_PRECIPITATION_EDMONTON,TOTAL_PRECIPITATION_HALIFAX,TOTAL_PRECIPITATION_MONCTON,TOTAL_PRECIPITATION_MONTREAL,TOTAL_PRECIPITATION_OTTAWA,TOTAL_PRECIPITATION_QUEBEC,TOTAL_PRECIPITATION_SASKATOON,TOTAL_PRECIPITATION_STJOHNS,TOTAL_PRECIPITATION_TORONTO,TOTAL_PRECIPITATION_VANCOUVER,TOTAL_PRECIPITATION_WHITEHORSE,TOTAL_PRECIPITATION_WINNIPEG,Temperature Change (°C),Temperature Change (°F),CO2 Emissions (per capita),Total Sea Ice Area (millions km²)
1968,3.1163934426229507,1.7704918032786885,6.163934426229508,4.867213114754098,5.601366120218579,5.378415300546448,3.61120218579235,2.1956284153005465,4.395355191256831,6.720218579234972,9.879781420765028,-1.1248633879781422,2.083879781420765,0.9797814207650274,0.9631147540983607,3.376502732240437,3.409016393442623,2.220218579234973,2.3295081967213114,2.4633879781420767,1.230054644808743,4.034426229508196,2.43551912568306,3.5407103825136614,0.8161202185792349,1.784153005464481,0.2,32.36,14.626162,1.26
1969,2.5205479452054793,0.5693150684931507,6.977534246575343,5.867671232876712,6.098356164383562,5.793698630136986,4.768219178082192,0.7756164383561645,5.556712328767124,6.940273972602739,9.46958904109589,-1.1526027397260274,1.9934246575342467,1.1728767123287671,1.2682191780821916,3.9652054794520546,3.3279452054794523,2.73013698630137,2.38986301369863,3.311780821917808,1.0690410958904109,4.661917808219178,1.8282191780821917,2.596712328767123,0.6906849315068493,1.5035616438356163,0.4,32.72,14.598572,1.59
1970,3.1093150684931508,0.7402739726027397,5.822465753424657,4.7216438356164385,5.65917808219178,5.241095890410959,4.026849315068493,0.8084931506849315,5.494520547945205,6.796438356164383,9.434246575342465,-0.6690410958904109,1.4594520547945207,1.0898630136986303,1.2180821917808218,3.658082191780822,3.267123287671233,2.213698630136986,2.407945205479452,3.0684931506849313,1.027945205479452,4.986301369863014,2.0665753424657534,2.3972602739726026,0.670958904109589,1.648767123287671,-0.2,31.64,15.913101,1.46
1971,3.2364383561643835,1.1673972602739726,6.119178082191781,4.954246575342466,5.692876712328768,5.385205479452055,3.893150684931507,1.055068493150685,5.438630136986301,7.118630136986302,9.088493150684933,-2.422465753424657,1.877808219178082,1.0753424657534247,1.1317808219178083,4.87041095890411,3.0972602739726027,2.210684931506849,2.527945205479452,3.4827397260273973,1.070958904109589,4.346849315068493,1.847123287671233,3.6569863013698627,0.7252054794520547,1.4394520547945204,0.0,32.0,16.089348,1.37
1972,2.039344262295082,0.3251366120218579,5.185519125683061,3.909016393442623,5.087431693989071,4.802732240437158,2.8076502732240436,0.298360655737705,3.6890710382513663,5.969398907103826,9.066393442622951,-3.5185792349726777,0.7254098360655737,1.318032786885246,1.5333333333333334,5.276229508196721,4.0710382513661205,3.2234972677595626,3.1860655737704917,3.7423497267759562,0.8382513661202186,3.9409836065573773,2.3393442622950817,3.398360655737705,0.801639344262295,1.160655737704918,-2.0,28.4,17.128956,1.66
1973,3.5556164383561644,1.5186301369863013,6.648219178082192,5.847945205479452,7.01945205479452,6.88,5.053424657534246,2.211780821917808,4.964657534246575,8.024657534246575,9.588219178082191,-2.768219178082192,3.1345205479452054,0.9904109589041096,1.6073972602739728,4.19013698630137,3.2947945205479447,2.83013698630137,2.850958904109589,4.323835616438356,1.1115068493150684,3.744931506849315,2.3306849315068496,2.739178082191781,0.5906849315068493,1.652876712328767,0.6,33.08,16.93627,1.33
1974,4.107671232876712,1.543013698630137,5.597534246575342,4.591506849315069,5.46,5.493972602739726,3.395068493150685,1.558082191780822,3.787945205479452,6.870958904109589,9.90876712328767,-1.569041095890411,1.6534246575342466,0.9526027397260274,1.301917808219178,3.9265753424657537,3.4328767123287673,2.4553424657534246,2.318356164383562,3.4983561643835617,1.1939726027397262,4.253698630136986,2.1734246575342464,3.42027397260274,1.0057534246575344,1.3994520547945206,-0.8,30.56,17.07043,1.45
1975,2.897534246575342,0.9542465753424656,6.103287671232876,5.052602739726027,6.597534246575342,6.529589041095891,4.45013698630137,1.1484931506849314,4.061095890410959,7.771232876712329,9.154246575342466,-2.888493150684931,2.4465753424657533,1.0115068493150685,1.2676712328767124,4.031780821917808,3.5517808219178084,3.264931506849315,2.4284931506849317,3.3706849315068492,0.9843835616438357,3.5863013698630137,2.1646575342465755,3.616712328767123,0.8504109589041096,1.6312328767123287,-0.1,31.82,17.140574,1.31
1976,5.194808743169399,3.1601092896174863,6.425956284153005,5.0442622950819676,5.077049180327869,4.896448087431693,3.0079234972677598,3.1592896174863387,4.970218579234972,6.213114754098361,9.702732240437157,0.11202185792349727,2.293169398907104,1.1087431693989072,1.2510928961748633,4.079234972677596,3.6043715846994537,2.962021857923497,2.307377049180328,4.035792349726775,0.791256830601093,4.134426229508197,2.26120218579235,2.754918032786885,0.6010928961748634,1.1685792349726776,0.0,32.0,17.00912,1.46
1977,4.030684931506849,2.5323287671232877,6.435890410958904,5.1695890410958905,6.114520547945206,5.95013698630137,4.346575342465753,2.6104109589041093,4.9112328767123286,7.080821917808219,9.792328767123287,-0.026027397260273893,3.23013698630137,1.152054794520548,1.1936986301369863,4.2443835616438355,3.9709589041095894,2.6476712328767125,2.7676712328767126,3.2150684931506848,0.9438356164383561,3.803835616438356,2.6610958904109587,2.8282191780821915,0.8698630136986302,1.9589041095890412,1.0,33.8,17.184347,1.27
